feature,feature_label,lag_days,pearson_r,spearman_rho,overlap_weeks,analysis_start,analysis_end
avg_relative_humidity_pct,Humidity,0,0.027986943977515714,-0.029018381776219633,353,2016-03-13,2022-12-18
avg_relative_humidity_pct,Humidity,1,0.037004160651595355,-0.02901167609951157,353,2016-03-13,2022-12-18
avg_relative_humidity_pct,Humidity,2,0.03220502056833324,-0.022508848361761518,351,2016-03-13,2022-12-18
avg_relative_humidity_pct,Humidity,3,0.019872008329790792,-0.014794987905691129,351,2016-03-13,2022-12-18
avg_relative_humidity_pct,Humidity,4,0.016907881807024176,-0.01381061230579944,351,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,5,0.021840151810005152,-0.019729566951284923,352,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,6,0.0303680737749715,-0.01673294216214915,352,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,7,0.03543559679824169,-0.02625682242303747,352,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,8,0.039621329431369576,-0.02741847513855489,352,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,9,0.031190609052674317,-0.02391154848514141,350,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,10,0.018746997483763923,-0.015954066131815676,350,2016-03-20,2022-12-18
avg_relative_humidity_pct,Humidity,11,0.021008538382708417,-0.008803490890266042,350,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,12,0.024380115488696934,-0.011974798708187993,351,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,13,0.033957986418427455,-0.0064856389637993565,351,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,14,0.04307009604316777,-0.011464753308229658,351,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,15,0.05018540810158072,-0.009401797399857397,351,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,16,0.04395916324523626,0.0009715591345551022,349,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,17,0.030745622593658803,0.010521275138315684,349,2016-03-27,2022-12-18
avg_relative_humidity_pct,Humidity,18,0.028342309368583264,0.015815936202981475,349,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,19,0.032751906699946924,0.00987833677464888,350,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,20,0.044276483099085245,0.013966195866152751,350,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,21,0.05381881193210967,0.008662981312314433,350,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,22,0.06024685671404928,0.00939459087145426,350,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,23,0.05625543106230493,0.022803303590682052,348,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,24,0.04917877186076526,0.03226156415911969,348,2016-04-03,2022-12-18
avg_relative_humidity_pct,Humidity,25,0.051362984822620736,0.038762776349763224,348,2016-04-10,2022-12-18
avg_relative_humidity_pct,Humidity,26,0.05677706146723129,0.03450697124016655,349,2016-04-10,2022-12-18
avg_relative_humidity_pct,Humidity,27,0.06894673023652441,0.043644293892701934,349,2016-04-10,2022-12-18
avg_relative_humidity_pct,Humidity,28,0.07710117396673705,0.034490709448183915,349,2016-04-10,2022-12-18
avg_temp_c,Temperature,0,0.08868046036562648,0.15366682346186053,353,2016-03-13,2022-12-18
avg_temp_c,Temperature,1,0.08363003898001532,0.16606924168986528,353,2016-03-13,2022-12-18
avg_temp_c,Temperature,2,0.08611059418831525,0.15681052612900445,351,2016-03-13,2022-12-18
avg_temp_c,Temperature,3,0.0981805172849066,0.15618595642207775,351,2016-03-13,2022-12-18
avg_temp_c,Temperature,4,0.10224921386472707,0.1592245685257676,351,2016-03-20,2022-12-18
avg_temp_c,Temperature,5,0.10327573655490176,0.15920963166032245,352,2016-03-20,2022-12-18
avg_temp_c,Temperature,6,0.0952307096661854,0.15299247161536791,352,2016-03-20,2022-12-18
avg_temp_c,Temperature,7,0.09091386087522585,0.15863415779047912,352,2016-03-20,2022-12-18
avg_temp_c,Temperature,8,0.08833035118416581,0.16956549168849305,352,2016-03-20,2022-12-18
avg_temp_c,Temperature,9,0.092871193403631,0.16057921616365292,350,2016-03-20,2022-12-18
avg_temp_c,Temperature,10,0.1009402298975988,0.15491540051229286,350,2016-03-20,2022-12-18
avg_temp_c,Temperature,11,0.10050375833967921,0.1525790341937424,350,2016-03-27,2022-12-18
avg_temp_c,Temperature,12,0.1035800064089943,0.14743213776203817,351,2016-03-27,2022-12-18
avg_temp_c,Temperature,13,0.09777500659518236,0.14505493442264203,351,2016-03-27,2022-12-18
avg_temp_c,Temperature,14,0.09912247737474143,0.15577939200480156,351,2016-03-27,2022-12-18
avg_temp_c,Temperature,15,0.09513214528839971,0.16826633766151763,351,2016-03-27,2022-12-18
avg_temp_c,Temperature,16,0.098077969451353,0.15815954352742723,349,2016-03-27,2022-12-18
avg_temp_c,Temperature,17,0.11002531157969114,0.1537971574584635,349,2016-03-27,2022-12-18
avg_temp_c,Temperature,18,0.11370463912962876,0.15473532601765114,349,2016-04-03,2022-12-18
avg_temp_c,Temperature,19,0.11369585887069764,0.15002918945281193,350,2016-04-03,2022-12-18
avg_temp_c,Temperature,20,0.10412357268955205,0.14515920470816915,350,2016-04-03,2022-12-18
avg_temp_c,Temperature,21,0.10084230841621974,0.15424714979719634,350,2016-04-03,2022-12-18
avg_temp_c,Temperature,22,0.09460847853785934,0.16487021768172458,350,2016-04-03,2022-12-18
avg_temp_c,Temperature,23,0.09490529464095893,0.14793427710711976,348,2016-04-03,2022-12-18
avg_temp_c,Temperature,24,0.09859918288405282,0.14096233412305892,348,2016-04-03,2022-12-18
avg_temp_c,Temperature,25,0.0981653617405975,0.1371823096827129,348,2016-04-10,2022-12-18
avg_temp_c,Temperature,26,0.10030835414871861,0.13482916973620954,349,2016-04-10,2022-12-18
avg_temp_c,Temperature,27,0.09211791383143692,0.13272666683424997,349,2016-04-10,2022-12-18
avg_temp_c,Temperature,28,0.0913901899113039,0.14265778411998595,349,2016-04-10,2022-12-18
avg_wind_speed,Wind,0,-0.11940902181238135,-0.11485000831663517,353,2016-03-13,2022-12-18
avg_wind_speed,Wind,1,-0.12230107840223,-0.113919021657648,353,2016-03-13,2022-12-18
avg_wind_speed,Wind,2,-0.1280754662828373,-0.12238156937712052,351,2016-03-13,2022-12-18
avg_wind_speed,Wind,3,-0.12923978605227757,-0.125280257479238,351,2016-03-13,2022-12-18
avg_wind_speed,Wind,4,-0.1276864986716363,-0.12148606625691548,351,2016-03-20,2022-12-18
avg_wind_speed,Wind,5,-0.12446164640563019,-0.11759829674916873,352,2016-03-20,2022-12-18
avg_wind_speed,Wind,6,-0.1287837938980477,-0.11837739356504724,352,2016-03-20,2022-12-18
avg_wind_speed,Wind,7,-0.134375299228128,-0.127445983900736,352,2016-03-20,2022-12-18
avg_wind_speed,Wind,8,-0.1397587394454812,-0.12465605421505828,352,2016-03-20,2022-12-18
avg_wind_speed,Wind,9,-0.14618173604717521,-0.1260296563808901,350,2016-03-20,2022-12-18
avg_wind_speed,Wind,10,-0.14768979314247796,-0.12374541947860869,350,2016-03-20,2022-12-18
avg_wind_speed,Wind,11,-0.14509706481455611,-0.11998782463839709,350,2016-03-27,2022-12-18
avg_wind_speed,Wind,12,-0.14042841689100335,-0.1168239384013938,351,2016-03-27,2022-12-18
avg_wind_speed,Wind,13,-0.14558237072154,-0.12139373732854318,351,2016-03-27,2022-12-18
avg_wind_speed,Wind,14,-0.1530211781333799,-0.13605775331547135,351,2016-03-27,2022-12-18
avg_wind_speed,Wind,15,-0.1561519080775048,-0.13774517336641715,351,2016-03-27,2022-12-18
avg_wind_speed,Wind,16,-0.1628985766491473,-0.13847125851449144,349,2016-03-27,2022-12-18
avg_wind_speed,Wind,17,-0.16332672611437585,-0.13842145744047454,349,2016-03-27,2022-12-18
avg_wind_speed,Wind,18,-0.16004762798356717,-0.1330941017562101,349,2016-04-03,2022-12-18
avg_wind_speed,Wind,19,-0.15459897507864168,-0.12919492571331903,350,2016-04-03,2022-12-18
avg_wind_speed,Wind,20,-0.15933638659657204,-0.13164153849144686,350,2016-04-03,2022-12-18
avg_wind_speed,Wind,21,-0.16665696281457368,-0.14755883258756022,350,2016-04-03,2022-12-18
avg_wind_speed,Wind,22,-0.1730581437431018,-0.14994931127359348,350,2016-04-03,2022-12-18
avg_wind_speed,Wind,23,-0.18037073659209377,-0.15329813157699046,348,2016-04-03,2022-12-18
avg_wind_speed,Wind,24,-0.18313687801735584,-0.15111184326535673,348,2016-04-03,2022-12-18
avg_wind_speed,Wind,25,-0.18178090087742155,-0.147490415248437,348,2016-04-10,2022-12-18
avg_wind_speed,Wind,26,-0.17891083489884377,-0.14678606809361142,349,2016-04-10,2022-12-18
avg_wind_speed,Wind,27,-0.18691500556419133,-0.152538827355861,349,2016-04-10,2022-12-18
avg_wind_speed,Wind,28,-0.19595130811496894,-0.17124308812857064,349,2016-04-10,2022-12-18
warm_day_share,Warm-day share,0,-0.0034323346390915856,0.12294586163316192,353,2016-03-13,2022-12-18
warm_day_share,Warm-day share,1,-0.0069003326069764755,0.13811939560753067,353,2016-03-13,2022-12-18
warm_day_share,Warm-day share,2,-0.0033903951241502977,0.1440545917373654,351,2016-03-13,2022-12-18
warm_day_share,Warm-day share,3,0.009081677502500812,0.14210497173087477,351,2016-03-13,2022-12-18
